date,price,sixty
2013.10.16,1450000,
2013.10.17,1463000,
2013.10.18,1472000,
2013.10.21,1464000,
2013.10.22,1455000,
2013.10.23,1442000,
2013.10.24,1449000,
2013.10.25,1449000,
2013.10.28,1482000,
2013.10.29,1490000,
2013.10.30,1500000,
2013.10.31,1465000,
2013.11.01,1500000,
2013.11.04,1499000,
2013.11.05,1485000,
2013.11.06,1451000,
2013.11.07,1437000,
2013.11.08,1410000,
2013.11.11,1428000,
2013.11.12,1456000,
2013.11.13,1419000,
2013.11.14,1424000,
2013.11.15,1462000,
2013.11.18,1474000,
2013.11.19,1489000,
2013.11.20,1470000,
2013.11.21,1440000,
2013.11.22,1450000,
2013.11.25,1465000,
2013.11.26,1479000,
2013.11.27,1470000,
2013.11.28,1494000,
2013.11.29,1494000,
2013.12.02,1467000,
2013.12.03,1461000,
2013.12.04,1432000,
2013.12.05,1440000,
2013.12.06,1428000,
2013.12.09,1454000,
2013.12.10,1440000,
2013.12.11,1420000,
2013.12.12,1410000,
2013.12.13,1390000,
2013.12.16,1400000,
2013.12.17,1395000,
2013.12.18,1401000,
2013.12.19,1427000,
2013.12.20,1427000,
2013.12.23,1433000,
2013.12.24,1415000,
2013.12.26,1408000,
2013.12.27,1396000,
2013.12.30,1372000,
2014.01.02,1309000,
2014.01.03,1296000,
2014.01.06,1307000,
2014.01.07,1304000,
2014.01.08,1291000,
2014.01.09,1275000,
2014.01.10,1272000,
2014.01.13,1295000,
2014.01.14,1313000,
2014.01.15,1299000,
2014.01.16,1301000,
2014.01.17,1292000,
2014.01.20,1316000,
2014.01.21,1324000,
2014.01.22,1328000,
2014.01.23,1299000,
2014.01.24,1307000,
2014.01.27,1292000,
2014.01.28,1283000,
2014.01.29,1280000,
2014.02.03,1272000,
2014.02.04,1249000,
2014.02.05,1237000,
2014.02.06,1259000,
2014.02.07,1275000,
2014.02.10,1277000,
2014.02.11,1311000,
2014.02.12,1307000,
2014.02.13,1298000,
2014.02.14,1301000,
2014.02.17,1285000,
2014.02.18,1295000,
2014.02.19,1290000,
2014.02.20,1286000,
2014.02.21,1330000,
2014.02.24,1328000,
2014.02.25,1334000,
2014.02.26,1342000,
2014.02.27,1341000,
2014.02.28,1349000,
2014.03.03,1325000,
2014.03.04,1315000,
2014.03.05,1330000,
2014.03.06,1326000,
2014.03.07,1339000,
2014.03.10,1320000,
2014.03.11,1322000,
2014.03.12,1294000,
2014.03.13,1290000,
2014.03.14,1275000,
2014.03.17,1266000,
2014.03.18,1278000,
2014.03.19,1269000,
2014.03.20,1262000,
2014.03.21,1273000,
2014.03.24,1273000,
2014.03.25,1247000,
2014.03.26,1285000,
2014.03.27,1333000,
2014.03.28,1335000,
2014.03.31,1343000,
2014.04.01,1339000,
2014.04.02,1357000,
2014.04.03,1390000,
2014.04.04,1380000,
2014.04.07,1397000,
2014.04.08,1394000,
2014.04.09,1371000,
2014.04.10,1380000,
2014.04.11,1365000,
2014.04.14,1370000,
2014.04.15,1370000,
2014.04.16,1380000,
2014.04.17,1370000,
2014.04.18,1378000,
2014.04.21,1380000,
2014.04.22,1375000,
2014.04.23,1389000,
2014.04.24,1407000,
2014.04.25,1399000,
2014.04.28,1388000,
2014.04.29,1360000,
2014.04.30,1343000,
2014.05.02,1346000,
2014.05.07,1344000,
2014.05.08,1350000,
2014.05.09,1335000,
2014.05.12,1388000,
2014.05.13,1400000,
2014.05.14,1415000,
2014.05.15,1410000,
2014.05.16,1428000,
2014.05.19,1448000,
2014.05.20,1451000,
2014.05.21,1441000,
2014.05.22,1426000,
2014.05.23,1428000,
2014.05.26,1422000,
2014.05.27,1407000,
2014.05.28,1433000,
2014.05.29,1460000,
2014.05.30,1443000,
2014.06.02,1455000,
2014.06.03,1470000,
2014.06.05,1457000,
2014.06.09,1409000,
2014.06.10,1436000,
2014.06.11,1422000,
2014.06.12,1413000,
2014.06.13,1367000,
2014.06.16,1374000,
2014.06.17,1374000,
2014.06.18,1358000,
2014.06.19,1323000,
2014.06.20,1301000,
2014.06.23,1322000,
2014.06.24,1345000,
2014.06.25,1320000,
2014.06.26,1325000,
2014.06.27,1311000,
2014.06.30,1322000,
2014.07.01,1310000,
2014.07.02,1330000,
2014.07.03,1318000,
2014.07.04,1306000,
2014.07.07,1292000,
2014.07.08,1295000,
2014.07.09,1308000,
2014.07.10,1306000,
2014.07.11,1284000,
2014.07.14,1286000,
2014.07.15,1320000,
2014.07.16,1321000,
2014.07.17,1330000,
2014.07.18,1343000,
2014.07.21,1353000,
2014.07.22,1348000,
2014.07.23,1338000,
2014.07.24,1355000,
2014.07.25,1355000,
2014.07.28,1358000,
2014.07.29,1386000,
2014.07.30,1395000,
2014.07.31,1343000,
2014.08.01,1292000,
2014.08.04,1317000,
2014.08.05,1316000,
2014.08.06,1300000,
2014.08.07,1290000,
2014.08.08,1250000,
2014.08.11,1270000,
2014.08.12,1266000,
2014.08.13,1264000,
2014.08.14,1261000,
2014.08.18,1250000,
2014.08.19,1254000,
2014.08.20,1261000,
2014.08.21,1235000,
2014.08.22,1247000,
2014.08.25,1228000,
2014.08.26,1222000,
2014.08.27,1230000,
2014.08.28,1242000,
2014.08.29,1234000,
2014.09.01,1226000,
2014.09.02,1194000,
2014.09.03,1189000,
2014.09.04,1210000,
2014.09.05,1201000,
2014.09.11,1192000,
2014.09.12,1201000,
2014.09.15,1200000,
2014.09.16,1206000,
2014.09.17,1226000,
2014.09.18,1210000,
2014.09.19,1210000,
2014.09.22,1188000,
2014.09.23,1161000,
2014.09.24,1150000,
2014.09.25,1156000,
2014.09.26,1185000,
2014.09.29,1195000,
2014.09.30,1184000,
2014.10.01,1156000,
2014.10.02,1141000,
2014.10.06,1151000,
2014.10.07,1162000,
2014.10.08,1130000,
2014.10.10,1105000,
2014.10.13,1108000,
2014.10.14,1127000,
2014.10.15,1125000,
2014.10.16,1115000,
2014.10.17,1089000,
2014.10.20,1106000,
2014.10.21,1083000,
2014.10.22,1104000,
2014.10.23,1094000,
2014.10.24,1112000,
2014.10.27,1095000,
2014.10.28,1091000,
2014.10.29,1130000,
2014.10.30,1181000,
2014.10.31,1244000,
2014.11.03,1235000,
2014.11.04,1217000,
2014.11.05,1202000,
2014.11.06,1204000,
2014.11.07,1206000,
2014.11.10,1268000,
2014.11.11,1231000,
2014.11.12,1230000,
2014.11.13,1200000,
2014.11.14,1194000,
2014.11.17,1205000,
2014.11.18,1220000,
2014.11.19,1218000,
2014.11.20,1210000,
2014.11.21,1223000,
2014.11.24,1220000,
2014.11.25,1190000,
2014.11.26,1201000,
2014.11.27,1264000,
2014.11.28,1287000,
2014.12.01,1295000,
2014.12.02,1295000,
2014.12.03,1298000,
2014.12.04,1300000,
2014.12.05,1302000,
2014.12.08,1319000,
2014.12.09,1349000,
2014.12.10,1317000,
2014.12.11,1305000,
2014.12.12,1286000,
2014.12.15,1273000,
2014.12.16,1279000,
2014.12.17,1266000,
2014.12.18,1266000,
2014.12.19,1328000,
2014.12.22,1345000,
2014.12.23,1339000,
2014.12.24,1343000,
2014.12.26,1352000,
2014.12.29,1329000,
2014.12.30,1327000,
2015.01.02,1330000,
2015.01.05,1333000,
2015.01.06,1295000,
2015.01.07,1307000,
2015.01.08,1314000,
2015.01.09,1314000,
2015.01.12,1316000,
2015.01.13,1339000,
2015.01.14,1345000,
2015.01.15,1334000,
2015.01.16,1316000,
2015.01.19,1343000,
2015.01.20,1372000,
2015.01.21,1395000,
2015.01.22,1378000,
2015.01.23,1386000,
2015.01.26,1389000,
2015.01.27,1400000,
2015.01.28,1378000,
2015.01.29,1360000,
2015.01.30,1365000,
2015.02.02,1368000,
2015.02.03,1366000,
2015.02.04,1359000,
2015.02.05,1358000,
2015.02.06,1372000,
2015.02.09,1395000,
2015.02.10,1378000,
2015.02.11,1355000,
2015.02.12,1344000,
2015.02.13,1361000,
2015.02.16,1374000,
2015.02.17,1377000,
2015.02.23,1367000,
2015.02.24,1367000,
2015.02.25,1379000,
2015.02.26,1375000,
2015.02.27,1357000,
2015.03.02,1423000,
2015.03.03,1418000,
2015.03.04,1437000,
2015.03.05,1422000,
2015.03.06,1442000,
2015.03.09,1420000,
2015.03.10,1421000,
2015.03.11,1474000,
2015.03.12,1447000,
2015.03.13,1457000,
2015.03.16,1470000,
2015.03.17,1497000,
2015.03.18,1503000,
2015.03.19,1470000,
2015.03.20,1464000,
2015.03.23,1467000,
2015.03.24,1476000,
2015.03.25,1485000,
2015.03.26,1421000,
2015.03.27,1421000,
2015.03.30,1428000,
2015.03.31,1441000,
2015.04.01,1423000,
2015.04.02,1434000,
2015.04.03,1434000,
2015.04.06,1470000,
2015.04.07,1462000,
2015.04.08,1479000,
2015.04.09,1483000,
2015.04.10,1490000,
2015.04.13,1479000,
2015.04.14,1474000,
2015.04.15,1446000,
2015.04.16,1477000,
2015.04.17,1450000,
2015.04.20,1430000,
2015.04.21,1444000,
2015.04.22,1461000,
2015.04.23,1451000,
2015.04.24,1410000,
2015.04.27,1395000,
2015.04.28,1366000,
2015.04.29,1385000,
2015.04.30,1410000,
2015.05.04,1400000,
2015.05.06,1362000,
2015.05.07,1370000,
2015.05.08,1338000,
2015.05.11,1336000,
2015.05.12,1331000,
2015.05.13,1333000,
2015.05.14,1340000,
2015.05.15,1326000,
2015.05.18,1320000,
2015.05.19,1338000,
2015.05.20,1366000,
2015.05.21,1352000,
2015.05.22,1350000,
2015.05.26,1362000,
2015.05.27,1314000,
2015.05.28,1309000,
2015.05.29,1307000,
2015.06.01,1291000,
2015.06.02,1303000,
2015.06.03,1273000,
2015.06.04,1337000,
2015.06.05,1341000,
2015.06.08,1314000,
2015.06.09,1282000,
2015.06.10,1262000,
2015.06.11,1257000,
2015.06.12,1277000,
2015.06.15,1270000,
2015.06.16,1255000,
2015.06.17,1254000,
2015.06.18,1265000,
2015.06.19,1266000,
2015.06.22,1281000,
2015.06.23,1321000,
2015.06.24,1302000,
2015.06.25,1269000,
2015.06.26,1278000,
2015.06.29,1281000,
2015.06.30,1268000,
2015.07.01,1295000,
2015.07.02,1299000,
2015.07.03,1268000,
2015.07.06,1230000,
2015.07.07,1240000,
2015.07.08,1239000,
2015.07.09,1265000,
2015.07.10,1259000,
2015.07.13,1266000,
2015.07.14,1225000,
2015.07.15,1235000,
2015.07.16,1282000,
2015.07.17,1305000,
2015.07.20,1275000,
2015.07.21,1263000,
2015.07.22,1253000,
2015.07.23,1234000,
2015.07.24,1229000,
2015.07.27,1230000,
2015.07.28,1230000,
2015.07.29,1263000,
2015.07.30,1215000,
2015.07.31,1185000,
2015.08.03,1175000,
2015.08.04,1182000,
2015.08.05,1159000,
2015.08.06,1115000,
2015.08.07,1136000,
2015.08.10,1141000,
2015.08.11,1157000,
2015.08.12,1154000,
2015.08.13,1140000,
2015.08.17,1104000,
2015.08.18,1131000,
2015.08.19,1154000,
2015.08.20,1139000,
2015.08.21,1101000,
2015.08.24,1079000,
2015.08.25,1079000,
2015.08.26,1067000,
2015.08.27,1067000,
2015.08.28,1081000,
2015.08.31,1089000,
2015.09.01,1085000,
2015.09.02,1090000,
2015.09.03,1122000,
2015.09.04,1129000,
2015.09.07,1112000,
2015.09.08,1131000,
2015.09.09,1147000,
2015.09.10,1134000,
2015.09.11,1115000,
2015.09.14,1124000,
2015.09.15,1123000,
2015.09.16,1152000,
2015.09.17,1157000,
2015.09.18,1190000,
2015.09.21,1150000,
2015.09.22,1145000,
2015.09.23,1131000,
2015.09.24,1126000,
2015.09.25,1112000,
2015.09.30,1134000,
2015.10.01,1134000,
2015.10.02,1119000,
2015.10.05,1115000,
2015.10.06,1151000,
2015.10.07,1251000,
2015.10.08,1270000,
2015.10.12,1260000,
2015.10.13,1252000,
2015.10.14,1254000,
2015.10.15,1269000,
2015.10.16,1265000,
2015.10.19,1256000,
2015.10.20,1266000,
2015.10.21,1270000,
2015.10.22,1280000,
2015.10.23,1289000,
2015.10.26,1292000,
2015.10.27,1298000,
2015.10.28,1308000,
2015.10.29,1325000,
2015.10.30,1372000,
2015.11.02,1383000,
2015.11.03,1352000,
2015.11.04,1330000,
2015.11.05,1342000,
2015.11.06,1338000,
2015.11.09,1344000,
2015.11.10,1321000,
2015.11.11,1333000,
2015.11.12,1317000,
2015.11.13,1300000,
2015.11.16,1263000,
2015.11.17,1270000,
2015.11.18,1281000,
2015.11.19,1289000,
2015.11.20,1285000,
2015.11.23,1282000,
2015.11.24,1299000,
2015.11.25,1299000,
2015.11.26,1335000,
2015.11.27,1327000,
2015.11.30,1284000,
2015.12.01,1321000,
2015.12.02,1300000,
2015.12.03,1290000,
2015.12.04,1269000,
2015.12.07,1262000,
2015.12.08,1262000,
2015.12.09,1263000,
2015.12.10,1283000,
2015.12.11,1284000,
2015.12.14,1261000,
2015.12.15,1277000,
2015.12.16,1299000,
2015.12.17,1290000,
2015.12.18,1278000,
2015.12.21,1280000,
2015.12.22,1292000,
2015.12.23,1295000,
2015.12.24,1285000,
2015.12.28,1266000,
2015.12.29,1254000,
2015.12.30,1260000,
2016.01.04,1205000,
2016.01.05,1208000,
2016.01.06,1175000,
2016.01.07,1163000,
2016.01.08,1171000,
2016.01.11,1152000,
2016.01.12,1146000,
2016.01.13,1148000,
2016.01.14,1138000,
2016.01.15,1132000,
2016.01.18,1126000,
2016.01.19,1171000,
2016.01.20,1138000,
2016.01.21,1131000,
2016.01.22,1168000,
2016.01.25,1162000,
2016.01.26,1137000,
2016.01.27,1175000,
2016.01.28,1145000,
2016.01.29,1150000,
2016.02.01,1163000,
2016.02.02,1156000,
2016.02.03,1146000,
2016.02.04,1156000,
2016.02.05,1164000,
2016.02.11,1130000,
2016.02.12,1130000,
2016.02.15,1154000,
2016.02.16,1168000,
2016.02.17,1185000,
2016.02.18,1187000,
2016.02.19,1190000,
2016.02.22,1175000,
2016.02.23,1181000,
2016.02.24,1172000,
2016.02.25,1179000,
2016.02.26,1172000,
2016.02.29,1178000,
2016.03.02,1197000,
2016.03.03,1220000,
2016.03.04,1215000,
2016.03.07,1223000,
2016.03.08,1192000,
2016.03.09,1194000,
2016.03.10,1225000,
2016.03.11,1249000,
2016.03.14,1255000,
2016.03.15,1253000,
2016.03.16,1256000,
2016.03.17,1263000,
2016.03.18,1273000,
2016.03.21,1267000,
2016.03.22,1269000,
2016.03.23,1279000,
2016.03.24,1282000,
2016.03.25,1288000,
2016.03.28,1294000,
2016.03.29,1290000,
2016.03.30,1308000,
2016.03.31,1312000,
2016.04.01,1279000,
2016.04.04,1305000,
2016.04.05,1260000,
2016.04.06,1285000,
2016.04.07,1269000,
2016.04.08,1246000,
2016.04.11,1266000,
2016.04.12,1275000,
2016.04.14,1300000,
2016.04.15,1300000,
2016.04.18,1299000,
2016.04.19,1288000,
2016.04.20,1299000,
2016.04.21,1294000,
2016.04.22,1280000,
2016.04.25,1281000,
2016.04.26,1296000,
2016.04.27,1300000,
2016.04.28,1265000,
2016.04.29,1245000,
2016.05.02,1250000,
2016.05.03,1261000,
2016.05.04,1290000,
2016.05.09,1299000,
2016.05.10,1296000,
2016.05.11,1292000,
2016.05.12,1281000,
2016.05.13,1253000,
2016.05.16,1248000,
2016.05.17,1264000,
2016.05.18,1268000,
2016.05.19,1270000,
2016.05.20,1269000,
2016.05.23,1286000,
2016.05.24,1271000,
2016.05.25,1295000,
2016.05.26,1296000,
2016.05.27,1282000,
2016.05.30,1280000,
2016.05.31,1292000,
2016.06.01,1333000,
2016.06.02,1365000,
2016.06.03,1377000,
2016.06.07,1398000,
2016.06.08,1406000,
2016.06.09,1430000,
2016.06.10,1406000,
2016.06.13,1371000,
2016.06.14,1380000,
2016.06.15,1413000,
2016.06.16,1409000,
2016.06.17,1426000,
2016.06.20,1431000,
2016.06.21,1448000,
2016.06.22,1445000,
2016.06.23,1430000,
2016.06.24,1400000,
2016.06.27,1398000,
2016.06.28,1399000,
2016.06.29,1396000,
2016.06.30,1425000,
2016.07.01,1466000,
2016.07.04,1466000,
2016.07.05,1469000,
2016.07.06,1421000,
2016.07.07,1450000,
2016.07.08,1460000,
2016.07.11,1489000,
2016.07.12,1464000,
2016.07.13,1481000,
2016.07.14,1500000,
2016.07.15,1518000,
2016.07.18,1533000,
2016.07.19,1533000,
2016.07.20,1540000,
2016.07.21,1543000,
2016.07.22,1516000,
2016.07.25,1502000,
2016.07.26,1530000,
2016.07.27,1527000,
2016.07.28,1507000,
2016.07.29,1539000,
2016.08.01,1568000,
2016.08.02,1548000,
2016.08.03,1517000,
2016.08.04,1517000,
2016.08.05,1561000,
2016.08.08,1569000,
2016.08.09,1567000,
2016.08.10,1541000,
2016.08.11,1559000,
2016.08.12,1545000,
2016.08.16,1568000,
2016.08.17,1566000,
2016.08.18,1640000,
2016.08.19,1675000,
2016.08.22,1665000,
2016.08.23,1687000,
2016.08.24,1653000,
2016.08.25,1639000,
2016.08.26,1612000,
2016.08.29,1640000,
2016.08.30,1645000,
2016.08.31,1620000,
2016.09.01,1587000,
2016.09.02,1597000,
2016.09.05,1606000,
2016.09.06,1643000,
2016.09.07,1621000,
2016.09.08,1639000,
2016.09.09,1575000,
2016.09.12,1465000,
2016.09.13,1527000,
2016.09.19,1558000,
2016.09.20,1585000,
2016.09.21,1592000,
2016.09.22,1618000,
2016.09.23,1571000,
2016.09.26,1568000,
2016.09.27,1569000,
2016.09.28,1567000,
2016.09.29,1600000,
2016.09.30,1598000,
2016.10.04,1614000,
2016.10.05,1619000,
2016.10.06,1691000,
2016.10.07,1706000,
2016.10.10,1680000,
2016.10.11,1545000,
2016.10.12,1535000,
2016.10.13,1557000,
2016.10.14,1577000,
2016.10.17,1590000,
2016.10.18,1589000,
2016.10.19,1625000,
2016.10.20,1620000,
2016.10.21,1589000,
2016.10.24,1608000,
2016.10.25,1597000,
2016.10.26,1567000,
2016.10.27,1573000,
2016.10.28,1614000,
2016.10.31,1639000,
2016.11.01,1652000,
2016.11.02,1643000,
2016.11.03,1616000,
2016.11.04,1627000,
2016.11.07,1640000,
2016.11.08,1644000,
2016.11.09,1596000,
2016.11.10,1649000,
2016.11.11,1598000,
2016.11.14,1553000,
2016.11.15,1539000,
2016.11.16,1558000,
2016.11.17,1568000,
2016.11.18,1586000,
2016.11.21,1593000,
2016.11.22,1640000,
2016.11.23,1649000,
2016.11.24,1650000,
2016.11.25,1650000,
2016.11.28,1677000,
2016.11.29,1677000,
2016.11.30,1746000,
2016.12.01,1749000,
2016.12.02,1727000,
2016.12.05,1718000,
2016.12.06,1748000,
2016.12.07,1772000,
2016.12.08,1790000,
2016.12.09,1780000,
2016.12.12,1752000,
2016.12.13,1766000,
2016.12.14,1777000,
2016.12.15,1759000,
2016.12.16,1793000,
2016.12.19,1795000,
2016.12.20,1812000,
2016.12.21,1805000,
2016.12.22,1809000,
2016.12.23,1782000,
2016.12.26,1798000,
2016.12.27,1799000,
2016.12.28,1788000,
2016.12.29,1802000,
2017.01.02,1805000,
2017.01.03,1824000,
2017.01.04,1808000,
2017.01.05,1778000,
2017.01.06,1810000,
2017.01.09,1861000,
2017.01.10,1862000,
2017.01.11,1914000,
